Genus,Label,Type,Value,Unit,file,site,surber,date,ln_a,b,base,logdw,dw
Acari,Acari,Distance,0.28,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-8.18241419,2.80E-07
Acari,Acari,Distance,0.39,mm,Burnet_s2s_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.35402135,6.40E-07
Acari,Acari,Distance,0.5,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.66,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.03878861,2.38E-06
Acari,Acari,Distance,0.63,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.155088649,2.12E-06
Acari,Acari,Distance,0.58,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.361817939,1.73E-06
Acari,Acari,Distance,0.59,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.319081855,1.80E-06
Acari,Acari,Distance,0.31,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.927957454,3.61E-07
Acari,Acari,Distance,0.43,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-7.109925176,8.17E-07
Acari,Acari,Distance,0.5,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.5,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.72,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-5.821260168,2.96E-06
Acari,Acari,Distance,0.5,mm,Burnet_s3j_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.52,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.634816169,1.31E-06
Acari,Acari,Distance,0.5,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.732867952,1.19E-06
Acari,Acari,Distance,0.56,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.61,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.235740805,1.96E-06
Acari,Acari,Distance,0.51,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.683361383,1.25E-06
Acari,Acari,Distance,0.55,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.494592502,1.51E-06
Acari,Acari,Distance,0.39,mm,Burnet_s3h_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-7.35402135,6.40E-07
Acari,Acari,Distance,0.54,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.540465349,1.44E-06
Acari,Acari,Distance,0.57,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.65,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.07695729,2.30E-06
Acari,Acari,Distance,0.49,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.78337472,1.13E-06
Acari,Acari,Distance,0.52,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.634816169,1.31E-06
Acari,Acari,Distance,0.58,mm,Burnet_s3h_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.361817939,1.73E-06
Acari,Acari,Distance,0.45,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-6.996269241,9.15E-07
Acari,Acari,Distance,0.43,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.109925176,8.17E-07
Acari,Acari,Distance,0.56,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-6.449546238,1.58E-06
Acari,Acari,Distance,0.44,mm,Burnet_s2r_02-02-16.csv,Burnet,s2,02-02-16,-5,2.5,2.718281828,-7.052451381,8.65E-07
Acari,Acari,Distance,0.32,mm,Burnet_s3k_02-02-16.csv,Burnet,s3,02-02-16,-5,2.5,2.718281828,-7.848585708,3.90E-07
